senseval2.d000.s000.t000 art.n.02
senseval3.d000.s113.t009 back.n.01
senseval3.d000.s114.t001 mistake.n.01
senseval3.d000.s114.t004 manner.n.01
senseval3.d000.s114.t006 incredulity.n.01
senseval3.d000.s114.t008 face.n.01
senseval3.d000.s114.t009 voice.n.01
senseval3.d000.s116.t002 caller.n.01
senseval3.d000.s116.t005 drink.n.01
senseval3.d000.s116.t008 fuss.n.02
senseval3.d000.s117.t000 fuss.n.02
senseval3.d000.s118.t000 guy.n.01
senseval3.d000.s118.t002 drink.n.01
senseval3.d000.s118.t004 lack.n.01
senseval3.d000.s118.t005 admiration.n.03
senseval3.d000.s119.t002 muteness.n.02
senseval3.d000.s120.t000 drink.n.01
senseval3.d000.s120.t002 wife.n.01
senseval3.d000.s120.t003 subject.n.01
senseval3.d000.s120.t004 minute.n.01
senseval3.d000.s120.t007 interest.n.01
senseval3.d000.s120.t008 hearer.n.01
senseval3.d000.s120.t011 face.n.01
senseval3.d000.s120.t013 eye.n.01
senseval3.d000.s121.t002 throat.n.01
senseval3.d000.s121.t003 stranger.n.01
senseval3.d000.s122.t001 bill.n.02
senseval3.d000.s123.t002 man.n.01
senseval3.d000.s125.t000 cunt.n.01
senseval3.d000.s125.t002 divorce.n.01
senseval3.d000.s126.t001 one-half.n.01
senseval3.d000.s127.t000 community_property.n.01
senseval3.d000.s127.t001 deal.n.01
senseval3.d000.s128.t001 business.n.01
senseval3.d000.s128.t003 share.n.01
senseval3.d000.s133.t001 state.n.01
senseval3.d000.s135.t002 occupation.n.01
senseval3.d000.s137.t001 pang.n.01
senseval3.d000.s137.t002 irritation.n.01
senseval3.d000.s137.t005 telephone_line.n.02
senseval3.d000.s138.t001 idea.n.01
senseval3.d000.s138.t003 circle.n.01
senseval3.d000.s138.t005 mind.n.01
senseval3.d000.s139.t002 guy.n.01
senseval3.d000.s140.t002 killer.n.01
senseval3.d000.s141.t000 addict.n.01
senseval3.d000.s141.t001 injury.n.01
senseval3.d000.s142.t000 real_mccoy.n.01
senseval3.d000.s143.t005 man.n.01
senseval3.d000.s143.t006 soft_spot.n.02
senseval3.d000.s144.t000 discourtesy.n.03
senseval3.d000.s146.t000 bull.n.05
senseval3.d000.s146.t002 thing.n.05
senseval3.d000.s146.t004 coincidence.n.01
senseval3.d000.s148.t000 accident.n.02
senseval3.d000.s151.t000 stranger.n.01
senseval3.d000.s152.t000 eye.n.01
senseval3.d000.s154.t002 accident.n.01
senseval3.d000.s155.t001 manner.n.01
senseval3.d000.s155.t002 time.n.03
senseval3.d000.s155.t003 customer.n.01
senseval3.d000.s155.t005 alibi.n.01
senseval3.d000.s157.t002 favor.n.01
senseval3.d000.s159.t001 liquor.n.01
senseval3.d000.s159.t002 bottom.n.01
senseval3.d000.s159.t003 glass.n.02
senseval3.d001.s000.t000 rout.n.02
senseval3.d001.s000.t002 aspirant.n.01
senseval3.d001.s000.t003 district.n.01
senseval3.d001.s000.t007 campaigner.n.01
senseval3.d001.s000.t008 reminder.n.02
senseval3.d001.s000.t010 degree.n.02
senseval3.d001.s000.t012 rise.n.01
senseval3.d001.s000.t014 half-century.n.01
senseval3.d001.s001.t001 election.n.01
senseval3.d001.s001.t002 year.n.01
senseval3.d001.s001.t003 percentage.n.01
senseval3.d001.s001.t004 state.n.04
senseval3.d001.s001.t006 district.n.01
senseval3.d001.s001.t009 party.n.01
senseval3.d001.s001.t010 campaigner.n.01
senseval3.d001.s002.t000 percentage.n.01
senseval3.d001.s002.t002 percentage.n.01
senseval3.d001.s003.t001 voter.n.01
senseval3.d001.s003.t004 republican.n.01
senseval3.d001.s003.t005 race.n.01
senseval3.d001.s003.t006 president_of_the_united_states.n.02
senseval3.d001.s004.t001 election.n.01
senseval3.d001.s004.t003 half-century.n.01
senseval3.d001.s004.t005 campaigning.n.01
senseval3.d001.s004.t007 percentage.n.01
senseval3.d001.s004.t009 party.n.01
senseval3.d001.s004.t011 vote.n.02
senseval3.d001.s004.t012 president_of_the_united_states.n.02
senseval3.d001.s004.t014 seat.n.07
senseval3.d001.s004.t016 vote.n.02
senseval3.d001.s005.t000 practice.n.01
senseval3.d001.s005.t001 reverse.n.01
senseval3.d001.s006.t001 consequence.n.01
senseval3.d001.s006.t003 decade.n.01
senseval3.d001.s007.t002 theory.n.01
senseval3.d001.s007.t005 explanation.n.01
senseval3.d001.s007.t006 split_personality.n.01
senseval3.d001.s007.t008 american.n.01
senseval3.d001.s007.t009 voting_booth.n.01
senseval3.d001.s008.t000 theory.n.01
senseval3.d001.s008.t002 premise.n.01
senseval3.d001.s009.t000 voter.n.01
senseval3.d001.s009.t002 trade_name.n.01
senseval3.d001.s009.t005 agent.n.02
senseval3.d001.s009.t007 trade_name.n.01
senseval3.d001.s009.t010 state.n.04
senseval3.d001.s009.t011 merit.n.01
senseval3.d001.s009.t013 market.n.01
senseval3.d001.s009.t014 frailty.n.02
senseval3.d001.s009.t016 action.n.01
senseval3.d001.s009.t018 trade_name.n.01
senseval3.d001.s009.t021 government.n.01
senseval3.d001.s009.t023 intervention.n.01
senseval3.d001.s009.t025 excess.n.02
senseval3.d001.s009.t027 pursuit.n.01
senseval3.d001.s009.t029 sake.n.01
senseval3.d001.s010.t001 congressman.n.01
senseval3.d001.s010.t004 duty.n.01
senseval3.d001.s010.t006 office.n.04
senseval3.d001.s010.t009 issue.n.01
senseval3.d001.s010.t010 action.n.01
senseval3.d001.s010.t012 roll_call.n.01
senseval3.d001.s010.t013 vote.n.01
senseval3.d001.s010.t014 legislation.n.01
senseval3.d001.s010.t016 cost.n.01
senseval3.d001.s010.t018 benefit.n.02
senseval3.d001.s010.t019 population.n.01
senseval3.d001.s010.t022 issue.n.01
senseval3.d001.s010.t023 constituency.n.01
senseval3.d001.s010.t024 service.n.01
senseval3.d001.s010.t025 pork_barrel.n.01
senseval3.d001.s011.t002 congressman.n.01
senseval3.d001.s011.t003 belief.n.01
senseval3.d001.s011.t005 state.n.01
senseval3.d001.s011.t010 member.n.01
senseval3.d001.s012.t000 premise.n.01
senseval3.d001.s012.t002 voter.n.01
senseval3.d001.s012.t003 race.n.01
senseval3.d001.s012.t006 theory.n.01
senseval3.d001.s012.t008 incentive.n.01
senseval3.d001.s012.t009 margin.n.01
senseval3.d001.s013.t001 office.n.04
senseval3.d001.s013.t004 benefit.n.02
senseval3.d001.s013.t005 legislator.n.01
senseval3.d001.s013.t009 legislator.n.01
senseval3.d001.s013.t011 home.n.06
senseval3.d001.s013.t013 constituency.n.01
senseval3.d001.s014.t000 legislator.n.01
senseval3.d001.s014.t003 policy.n.01
senseval3.d001.s014.t004 devising.n.01
senseval3.d001.s015.t000 race.n.01
senseval3.d001.s015.t001 voter.n.01
senseval3.d001.s015.t002 incentive.n.01
senseval3.d001.s015.t003 margin.n.02
senseval3.d001.s016.t000 president.n.04
senseval3.d001.s016.t003 benefit.n.01
senseval3.d001.s016.t004 voter.n.01
senseval3.d001.s016.t006 district.n.01
senseval3.d001.s016.t008 president.n.04
senseval3.d001.s016.t013 district.n.01
senseval3.d001.s016.t014 legislator.n.01
senseval3.d001.s016.t017 benefit.n.01
senseval3.d001.s017.t001 voter.n.01
senseval3.d001.s017.t002 standing.n.01
senseval3.d001.s017.t004 tax.n.01
senseval3.d001.s018.t000 theory.n.01
senseval3.d001.s018.t005 thing.n.03
senseval3.d001.s019.t003 form.n.03
senseval3.d001.s019.t005 half-century.n.01
senseval3.d001.s019.t006 election.n.01
senseval3.d001.s019.t007 president_of_the_united_states.n.01
senseval3.d001.s019.t008 advent.n.01
senseval3.d001.s019.t009 government.n.01
senseval3.d001.s019.t011 function.n.03
senseval3.d001.s019.t012 society.n.01
senseval3.d001.s019.t013 problem.n.01
senseval3.d001.s019.t015 voter.n.01
senseval3.d001.s019.t016 race.n.01
senseval3.d001.s020.t001 voter.n.01
senseval3.d001.s020.t003 contempt.n.01
senseval3.d001.s020.t007 congressman.n.01
senseval3.d001.s020.t009 legislator.n.01
senseval3.d001.s020.t010 constituent.n.02
senseval3.d001.s020.t013 benefit.n.02
senseval3.d001.s020.t014 legislator.n.01
senseval3.d001.s020.t017 cost.n.01
senseval3.d001.s020.t020 legislator.n.01
senseval3.d001.s020.t023 constituency.n.01
senseval3.d001.s021.t000 hypothesis.n.02
senseval3.d001.s021.t002 legislator.n.01
senseval3.d001.s021.t005 policy.n.01
senseval3.d001.s021.t006 devising.n.01
senseval3.d001.s021.t010 security.n.01
senseval3.d001.s021.t011 office.n.04
senseval3.d001.s022.t002 member.n.01
senseval3.d001.s022.t004 incumbent.n.01
senseval3.d001.s023.t000 exception.n.01
senseval3.d001.s023.t002 tendency.n.04
senseval3.d001.s023.t003 defeat.n.01
senseval3.d001.s023.t004 freshman.n.01
senseval3.d001.s023.t005 republican.n.01
senseval3.d001.s023.t007 office.n.04
senseval3.d001.s023.t008 revolution.n.01
senseval3.d001.s023.t010 reelection.n.01
senseval3.d001.s024.t000 freshman.n.01
senseval3.d001.s024.t002 emphasis.n.01
senseval3.d001.s024.t004 function.n.03
senseval3.d001.s024.t006 revolution.n.01
senseval3.d001.s024.t008 policy.n.02
senseval3.d001.s025.t001 hypothesis.n.02
senseval3.d001.s025.t005 time.n.02
senseval3.d001.s025.t008 campaigner.n.01
senseval3.d001.s025.t010 office.n.04
senseval3.d001.s026.t001 campaigner.n.01
senseval3.d001.s026.t005 wage.n.01
senseval3.d001.s026.t006 prospect.n.01
senseval3.d001.s026.t007 defeat.n.01
senseval3.d001.s026.t008 hand.n.01
senseval3.d001.s026.t010 opposition.n.04
senseval3.d001.s027.t000 extent.n.01
senseval3.d001.s027.t002 campaigner.n.01
senseval3.d001.s027.t006 game.n.01
senseval3.d001.s027.t008 disadvantage.n.01
senseval3.d001.s027.t010 attempt.n.01
senseval3.d001.s027.t012 slate.n.04
senseval3.d001.s027.t014 campaigner.n.01
senseval3.d001.s028.t001 hypothesis.n.02
senseval3.d001.s028.t004 reason.n.01
senseval3.d001.s029.t000 extent.n.01
senseval3.d001.s029.t002 legislator.n.01
senseval3.d001.s029.t005 share.n.01
senseval3.d001.s029.t006 power.n.01
senseval3.d001.s029.t011 benefit.n.02
senseval3.d001.s029.t013 constituency.n.01
senseval3.d001.s029.t014 voter.n.01
senseval3.d001.s029.t017 incentive.n.01
senseval3.d001.s029.t020 democrat.n.01
senseval3.d001.s029.t021 office.n.04
senseval3.d001.s030.t000 hypothesis.n.02
senseval3.d001.s030.t002 republican.n.01
senseval3.d001.s030.t004 race.n.01
senseval3.d001.s030.t005 political_campaign.n.01
senseval3.d001.s031.t001 benefit.n.01
senseval3.d001.s031.t004 policy.n.01
senseval3.d001.s031.t005 devising.n.01
senseval3.d001.s031.t007 chamber.n.04
senseval3.d001.s031.t008 form.n.03
senseval3.d001.s031.t010 republican.n.01
senseval3.d001.s031.t014 benefit.n.01
senseval3.d001.s031.t016 counterpart.n.01
senseval3.d001.s032.t001 support.n.03
senseval3.d001.s032.t002 theory.n.01
senseval3.d001.s033.t000 piece.n.02
senseval3.d001.s033.t001 evidence.n.01
senseval3.d001.s033.t004 premise.n.01
senseval3.d001.s033.t006 legislator.n.01
senseval3.d001.s033.t010 benefit.n.01
senseval3.d001.s033.t012 colleague.n.01
senseval3.d001.s034.t001 economist.n.01
senseval3.d001.s034.t003 senator.n.01
senseval3.d001.s034.t007 staff.n.01
senseval3.d001.s034.t008 budget.n.02
senseval3.d001.s034.t009 democrat.n.01
senseval3.d001.s035.t000 extent.n.01
senseval3.d001.s035.t002 duty.n.02
senseval3.d001.s035.t004 staff.n.01
senseval3.d001.s035.t007 benefit.n.01
senseval3.d001.s035.t010 doctrine.n.01
senseval3.d001.s035.t013 republican.n.01
senseval3.d001.s035.t015 constituent.n.02
senseval3.d001.s035.t016 concern.n.01
senseval3.d001.s036.t002 premise.n.01
senseval3.d001.s036.t004 democrat.n.01
senseval3.d001.s036.t006 attendance.n.01
senseval3.d001.s036.t007 rate.n.02
senseval3.d001.s036.t008 roll_call.n.01
senseval3.d001.s036.t009 vote.n.01
senseval3.d001.s036.t010 republican.n.01
senseval3.d001.s036.t011 extent.n.01
senseval3.d001.s036.t013 vote.n.01
senseval3.d001.s036.t016 policy.n.01
senseval3.d001.s036.t017 devising.n.01
senseval3.d001.s036.t020 vote.n.01
senseval3.d001.s036.t021 time.n.02
senseval3.d001.s036.t022 legislator.n.01
senseval3.d001.s036.t025 benefit.n.01
senseval3.d001.s037.t000 datum.n.01
senseval3.d001.s037.t002 case.n.01
senseval3.d001.s038.t001 attendance.n.02
senseval3.d001.s038.t002 rate.n.01
senseval3.d001.s038.t005 attendance.n.02
senseval3.d001.s038.t006 rate.n.01
senseval3.d001.s039.t000 display.n.01
senseval3.d001.s039.t001 table.n.01
senseval3.d001.s039.t002 democrat.n.01
senseval3.d001.s039.t004 proportion.n.01
senseval3.d001.s039.t006 staff.n.01
senseval3.d001.s039.t007 district.n.01
senseval3.d001.s039.t008 agency.n.01
senseval3.d001.s039.t010 benefit.n.01
senseval3.d001.s039.t011 duty.n.01
senseval3.d001.s039.t014 policy.n.02
senseval3.d001.s039.t015 devising.n.01
senseval3.d001.s039.t016 activity.n.01
senseval3.d001.s039.t019 agency.n.01
senseval3.d001.s040.t000 examination.n.01
senseval3.d001.s040.t001 change.n.01
senseval3.d001.s040.t003 decision.n.01
senseval3.d001.s040.t004 control.n.01
senseval3.d001.s040.t005 body.n.02
senseval3.d001.s040.t007 party.n.01
senseval3.d001.s040.t010 difference.n.01
senseval3.d001.s040.t012 table.n.01
senseval3.d001.s040.t015 control.n.01
senseval3.d001.s040.t016 democrat.n.01
senseval3.d001.s040.t018 majority.n.02
senseval3.d001.s040.t019 status.n.01
senseval3.d001.s040.t021 resource.n.02
senseval3.d001.s040.t022 committee.n.01
senseval3.d001.s040.t023 staff.n.01
senseval3.d001.s041.t001 piece.n.05
senseval3.d001.s041.t002 evidence.n.01
senseval3.d001.s041.t005 factor.n.01
senseval3.d001.s041.t007 tenure.n.01
senseval3.d001.s041.t008 advantage.n.01
senseval3.d001.s041.t010 factor.n.01
senseval3.d001.s041.t011 deviation.n.01
senseval3.d001.s041.t013 vote.n.01
senseval3.d001.s041.t017 campaigner.n.01
senseval3.d001.s041.t018 state.n.01
senseval3.d001.s041.t020 election.n.01
senseval3.d001.s041.t023 function.n.01
senseval3.d001.s041.t025 federal_government.n.01
senseval3.d001.s041.t026 tax.n.01
senseval3.d001.s041.t027 burden.n.01
senseval3.d001.s041.t028 state.n.01
senseval3.d001.s041.t030 tax_rate.n.01
senseval3.d001.s041.t033 income.n.01
senseval3.d001.s041.t034 state.n.01
senseval3.d001.s042.t001 campaigner.n.01
senseval3.d001.s042.t002 president_of_the_united_states.n.02
senseval3.d001.s042.t004 voter.n.01
senseval3.d001.s042.t006 campaigner.n.01
senseval3.d001.s042.t007 prisoner.n.01
senseval3.d001.s042.t008 dilemma.n.01
senseval3.d001.s043.t004 practice.n.01
senseval3.d001.s043.t005 state.n.01
senseval3.d001.s043.t006 government.n.01
senseval3.d001.s043.t007 degree.n.02
senseval3.d001.s043.t009 degree.n.02
senseval3.d001.s044.t000 state.n.01
senseval3.d001.s044.t001 government.n.01
senseval3.d001.s044.t003 argumentation.n.02
senseval3.d001.s044.t004 reverse.n.01
senseval3.d001.s045.t001 investigation.n.02
senseval3.d001.s045.t005 factor.n.01
senseval3.d001.s045.t007 difference.n.01
senseval3.d001.s045.t008 state.n.01
senseval3.d001.s045.t010 party.n.01
senseval3.d001.s045.t011 vote.n.02
senseval3.d001.s045.t015 campaigner.n.01
senseval3.d001.s045.t017 share.n.01
senseval3.d001.s045.t018 state.n.01
senseval3.d001.s045.t019 house.n.05
senseval3.d001.s045.t021 function.n.01
senseval3.d001.s045.t022 state.n.01
senseval3.d001.s045.t023 tax_rate.n.01
senseval3.d001.s046.t000 kernel.n.03
senseval3.d001.s046.t002 state.n.01
senseval3.d001.s046.t003 government.n.01
senseval3.d001.s046.t004 degree.n.01
senseval3.d001.s046.t005 part.n.01
senseval3.d001.s046.t007 behavior.n.01
senseval3.d001.s046.t008 voter.n.01
senseval3.d001.s046.t010 voting_booth.n.01
senseval3.d001.s046.t013 explanation.n.01
senseval3.d001.s047.t001 business_school.n.01
senseval3.d002.s000.t002 night.n.01
senseval3.d002.s000.t004 earthquake.n.01
senseval3.d002.s000.t005 resident.n.01
senseval3.d002.s000.t007 comfort.n.02
senseval3.d002.s000.t008 consolation.n.01
senseval3.d002.s001.t001 screen.n.03
senseval3.d002.s001.t002 personal_computer.n.01
senseval3.d002.s002.t000 hundred.n.01
senseval3.d002.s002.t002 way.n.07
senseval3.d002.s002.t003 computer.n.01
senseval3.d002.s002.t004 earthquake.n.01
senseval3.d002.s002.t006 bulletin_board.n.02
senseval3.d002.s002.t008 computer.n.01
senseval3.d002.s002.t009 telephone_line.n.02
senseval3.d002.s003.t001 bulletin.n.01
senseval3.d002.s003.t003 outstation.n.01
senseval3.d002.s004.t000 two-thirds.n.01
senseval3.d002.s004.t001 subscriber.n.02
senseval3.d002.s005.t000 earthquake.n.01
senseval3.d002.s005.t002 hour.n.01
senseval3.d002.s005.t007 report.n.02
senseval3.d002.s006.t000 excerpt.n.01
senseval3.d002.s006.t002 traffic.n.01
senseval3.d002.s006.t003 night.n.01
senseval3.d002.s007.t000 clock_time.n.01
senseval3.d002.s007.t001 clock_time.n.01
senseval3.d002.s007.t002 initial.n.01
senseval3.d002.s007.t003 nickname.n.01
senseval3.d002.s007.t004 subscriber.n.02
senseval3.d002.s011.t000 avenue.n.02
senseval3.d002.s011.t002 floor.n.02
senseval3.d002.s011.t004 building.n.01
senseval3.d002.s011.t005 heart.n.02
senseval3.d002.s011.t006 pulse.n.02
senseval3.d002.s011.t007 pulse.n.02
senseval3.d002.s012.t001 poster.n.01
senseval3.d002.s012.t002 frame.n.01
senseval3.d002.s012.t003 glass.n.01
senseval3.d002.s012.t004 floor.n.01
senseval3.d002.s012.t005 file.n.03
senseval3.d002.s012.t007 floor.n.01
senseval3.d002.s015.t002 game.n.01
senseval3.d002.s016.t001 earthquake.n.01
senseval3.d002.s016.t004 table.n.02
senseval3.d002.s016.t008 smile.n.01
senseval3.d002.s016.t010 word.n.01
senseval3.d002.s016.t011 earthquake.n.01
senseval3.d002.s017.t002 earthquake.n.01
senseval3.d002.s018.t000 time.n.01
senseval3.d002.s018.t002 building.n.01
senseval3.d002.s018.t005 child.n.01
senseval3.d002.s018.t006 plaything.n.01
senseval3.d002.s018.t007 block.n.01
senseval3.d002.s021.t000 library.n.05
senseval3.d002.s022.t001 moment.n.02
senseval3.d002.s022.t004 window.n.01
senseval3.d002.s022.t007 glass.n.01
senseval3.d002.s023.t001 book.n.02
senseval3.d002.s023.t003 reading_room.n.01
senseval3.d002.s024.t000 car.n.01
senseval3.d002.s024.t001 paint.n.01
senseval3.d002.s024.t002 shop.n.01
senseval3.d002.s024.t003 fire.n.01
senseval3.d002.s024.t006 cloud.n.01
senseval3.d002.s024.t008 smoke.n.01
senseval3.d002.s024.t009 air.n.02
senseval3.d002.s027.t000 daughter.n.01
senseval3.d002.s028.t000 building.n.01
senseval3.d002.s028.t002 hell.n.01
senseval3.d002.s029.t000 gas_tank.n.01
senseval3.d002.s029.t003 business_district.n.01
senseval3.d002.s029.t004 thing.n.01
senseval3.d002.s030.t000 batch.n.02
senseval3.d002.s030.t001 car.n.01
senseval3.d002.s030.t002 alarm.n.02
senseval3.d002.s031.t000 cat.n.01
senseval3.d002.s034.t001 fire.n.01
senseval3.d002.s034.t002 gas_main.n.01
senseval3.d002.s035.t000 area.n.05
senseval3.d002.s035.t001 filling.n.01
senseval3.d002.s036.t000 woman.n.01
senseval3.d002.s036.t002 apartment.n.01
senseval3.d002.s036.t005 window.n.01
senseval3.d002.s036.t007 floor.n.02
senseval3.d002.s036.t008 street.n.01
senseval3.d002.s036.t009 level.n.04
senseval3.d002.s036.t010 earthquake.n.01
senseval3.d002.s037.t000 house.n.01
senseval3.d002.s037.t001 land.n.04
senseval3.d002.s040.t001 truck.n.01
senseval3.d002.s040.t003 red_light.n.02
senseval3.d002.s040.t004 corner.n.04
senseval3.d002.s040.t005 boundary_line.n.01
senseval3.d002.s041.t000 part.n.01
senseval3.d002.s041.t002 power_line.n.01
senseval3.d002.s041.t004 head.n.01
senseval3.d002.s041.t005 means.n.01
senseval3.d002.s044.t000 foot.n.02
senseval3.d002.s044.t001 pier.n.01
senseval3.d002.s046.t001 hairline.n.01
senseval3.d002.s046.t002 crack.n.01
senseval3.d002.s046.t004 slab.n.01
senseval3.d002.s047.t002 fishing.n.01
senseval3.d002.s050.t002 floor.n.02
senseval3.d002.s051.t001 part.n.03
senseval3.d002.s051.t002 building.n.01
senseval3.d002.s051.t003 head.n.01
senseval3.d002.s053.t002 home.n.01
senseval3.d002.s053.t003 house.n.01
senseval3.d002.s053.t004 pile.n.06
senseval3.d002.s054.t002 storm.n.01
senseval3.d002.s055.t001 smell.n.01
senseval3.d002.s055.t002 gasoline.n.01
senseval3.d002.s055.t004 refinery.n.01
senseval3.d002.s056.t001 cloud.n.02
senseval3.d002.s056.t002 bay.n.01
senseval3.d002.s056.t004 fire.n.01
senseval3.d002.s057.t002 aftershock.n.01
senseval3.d002.s058.t000 back.n.01
senseval3.d002.s058.t001 knot.n.02
senseval3.d002.s058.t002 hand.n.01
senseval3.d002.s059.t002 aftershock.n.01
senseval3.d002.s059.t003 body.n.01
senseval3.d002.s062.t001 fire.n.03
senseval3.d002.s062.t002 house.n.01
senseval3.d002.s062.t003 bay.n.01
senseval3.d002.s066.t000 building.n.01
senseval3.d002.s066.t001 corner.n.03
senseval3.d002.s066.t004 lady.n.01
senseval3.d002.s066.t006 mother.n.01
senseval3.d002.s066.t007 guestroom.n.01
senseval3.d002.s067.t000 book.n.01
senseval3.d002.s067.t001 software.n.01
senseval3.d002.s068.t001 standing.n.03
senseval3.d002.s068.t002 position.n.04
senseval3.d002.s072.t001 thing.n.01
senseval3.d002.s072.t004 bird.n.01
senseval3.d002.s072.t005 behavior.n.01
senseval3.d002.s073.t000 duck.n.01
senseval3.d002.s073.t001 swarm.n.02
senseval3.d002.s076.t001 aftershock.n.01
senseval3.d002.s076.t003 second.n.01
senseval3.d002.s080.t000 business_district.n.01
senseval3.d002.s080.t002 region.n.01
senseval3.d002.s080.t003 town.n.01
senseval3.d002.s081.t001 telephone.n.01
senseval3.d002.s081.t002 mess.n.01
senseval3.d002.s081.t003 mayonnaise.n.01
senseval3.d002.s081.t004 wine.n.01
senseval3.d002.s081.t005 floor.n.02
senseval3.d002.s081.t008 country_store.n.01
senseval3.d002.s082.t000 vibration.n.01
senseval3.d002.s082.t002 house.n.01
senseval3.d002.s082.t004 minute.n.01
senseval3.d002.s082.t006 time_interval.n.01
senseval3.d002.s082.t007 mouse.n.01
senseval3.d002.s082.t009 kitchen.n.01
senseval3.d002.s082.t011 safety.n.02
senseval3.d002.s082.t012 desk.n.01
senseval3.d002.s084.t000 earthquake.n.01
senseval3.d002.s084.t002 town.n.01
senseval3.d002.s086.t000 thing.n.01
senseval3.d002.s086.t003 doorway.n.01
senseval3.d002.s086.t007 minute.n.01
senseval3.d002.s086.t009 brick.n.01
senseval3.d002.s086.t010 sidewalk.n.01
senseval3.d002.s086.t011 foot.n.01
senseval3.d002.s086.t013 flower.n.01
senseval3.d002.s086.t016 rhythm.n.02
senseval3.d002.s087.t002 one.n.01
senseval3.d002.s087.t003 pulse.n.03
senseval3.d002.s087.t004 one.n.01
senseval3.d002.s087.t006 memory.n.03
senseval3.d002.s088.t004 degree.n.01
senseval3.d002.s088.t005 confusion.n.01
senseval3.d002.s088.t006 aftershock.n.01
senseval3.d002.s091.t000 medical_center.n.01
senseval3.d002.s091.t003 night.n.01
senseval3.d002.s091.t005 triage.n.01
senseval3.d002.s091.t006 parking_lot.n.01
senseval3.d002.s091.t007 sound.n.01
senseval3.d002.s091.t008 light.n.02
senseval3.d002.s092.t000 friend.n.01
senseval3.d002.s092.t002 computer.n.01
senseval3.d002.s092.t003 center.n.03
senseval3.d002.s092.t004 business_district.n.01
senseval3.d002.s092.t005 earthquake.n.01
senseval3.d002.s093.t001 computer.n.01
senseval3.d002.s093.t004 trip.n.01
senseval3.d002.s093.t006 floor.n.01
senseval3.d002.s094.t000 today.n.01
senseval3.d002.s094.t002 people.n.01
senseval3.d002.s094.t005 life.n.03
senseval3.d002.s094.t006 while.n.01
senseval3.d002.s097.t001 home.n.01
senseval3.d002.s097.t003 dog.n.01
senseval3.d002.s097.t004 house.n.01
senseval3.d002.s097.t006 sound.n.02
senseval3.d002.s097.t007 head.n.01
senseval3.d002.s097.t008 person.n.01
senseval3.d002.s097.t010 roof.n.01
senseval3.d002.s098.t001 car.n.01
senseval3.d002.s098.t003 person.n.01
senseval3.d002.s099.t003 house.n.01
senseval3.d002.s099.t004 dog.n.01
senseval3.d002.s100.t000 cupboard.n.01
senseval3.d002.s100.t001 door.n.01
senseval3.d002.s100.t003 ashcan.n.01
senseval3.d002.s100.t004 kitchen.n.01
senseval3.d002.s100.t007 foot.n.02
senseval3.d002.s100.t008 dog.n.01
senseval3.d002.s100.t011 dog.n.01
senseval3.d002.s100.t013 doorway.n.01
senseval3.d002.s100.t017 concrete.n.01
senseval3.d002.s101.t004 house.n.01
senseval3.d002.s101.t008 home.n.01
senseval3.d002.s102.t000 life.n.06
senseval3.d002.s103.t001 picture.n.01
senseval3.d002.s106.t000 evening.n.01
senseval3.d002.s106.t001 batch.n.02
senseval3.d002.s106.t002 people.n.01
senseval3.d002.s106.t003 dog.n.01
senseval3.d002.s106.t006 beer.n.01
senseval3.d002.s109.t003 therapy.n.01
senseval3.d002.s109.t004 client.n.01
senseval3.d002.s109.t005 couple.n.03
senseval3.d002.s109.t006 building.n.01
senseval3.d002.s110.t001 structure.n.01
senseval3.d002.s110.t003 support.n.07
senseval3.d002.s111.t002 moment.n.02
senseval3.d002.s111.t006 doorway.n.01
senseval3.d002.s112.t004 session.n.01
senseval3.d002.s116.t000 trouble.n.01
senseval3.d002.s116.t002 family.n.01
senseval3.d002.s116.t004 telephone_line.n.02
senseval3.d002.s116.t007 hour.n.01
senseval3.d002.s119.t000 backyard.n.01
senseval3.d002.s119.t001 lawn.n.01
senseval3.d002.s119.t004 ocean.n.01
senseval3.d002.s119.t005 wave.n.01
senseval3.d002.s120.t001 house.n.01
senseval3.d002.s120.t004 tremor.n.02
senseval3.d002.s120.t006 air.n.02
senseval3.d002.s120.t010 foot.n.01
senseval3.d002.s122.t000 kitchen.n.01
senseval3.d002.s122.t002 crystal.n.01
senseval3.d002.s123.t000 book.n.02
senseval3.d002.s123.t001 tape.n.02
senseval3.d002.s123.t002 room.n.01
senseval3.d002.s124.t000 thing.n.04
senseval3.d002.s124.t001 house.n.01
senseval3.d002.s124.t002 structure.n.01
senseval3.d002.s125.t001 lawn.n.01
senseval3.d002.s125.t003 tremor.n.02
senseval3.d002.s125.t005 earthworm.n.01
senseval3.d002.s125.t007 land.n.04
senseval3.d002.s125.t009 lawn.n.01
senseval3.d002.s128.t001 moment.n.01
senseval3.d002.s128.t003 life.n.03
senseval3.d002.s131.t003 aftershock.n.01
senseval3.d002.s132.t003 second.n.01
senseval3.d002.s136.t000 flesh.n.01
senseval3.d002.s136.t002 sum.n.05
senseval3.d002.s136.t003 escape.n.01
senseval3.d002.s136.t004 fight.n.02
senseval3.d002.s137.t000 nausea.n.01
senseval3.d002.s137.t003 symptom.n.01
senseval3.d002.s139.t002 minute.n.01
senseval3.d002.s139.t003 morning.n.01
senseval3.d002.s140.t002 couple.n.01
senseval3.d002.s140.t005 sleeping_bag.n.01
senseval3.d002.s140.t008 good_morning.n.01
senseval3.d002.s140.t009 woman.n.01
